OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean	taxonomy
4476877	2.17519373846	0.1402518528	1.0	1.0	1.37317073171	5.16371681416	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Odoribacter; s__
891941	2.13571668097	0.143903193275	1.0	1.0	0.0	1.93805309735	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
572751	2.1331570658	0.144143605242	1.0	1.0	0.187804878049	2.61946902655	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
261240	2.12725768123	0.144699429617	1.0	1.0	2.07804878049	0.0265486725664	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
174845	2.11060252453	0.146281711756	1.0	1.0	1.96585365854	0.00663716814159	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
174831	2.07909761434	0.149328433367	1.0	1.0	9.10975609756	3.88716814159	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
64192	2.07831436287	0.149405086425	1.0	1.0	2.10487804878	0.0420353982301	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Solibacillus; s__
189083	2.05566757323	0.151640779755	1.0	1.0	74.9853658537	58.4159292035	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
4430952	2.04340058707	0.152867573433	1.0	1.0	6.74146341463	13.1371681416	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__
4474380	2.02136363566	0.155099802117	1.0	1.0	38.2292682927	51.7256637168	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
656774	2.00960667507	0.156305837344	1.0	1.0	0.0	1.84292035398	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__
74354	1.99979747544	0.157320226012	1.0	1.0	1.85365853659	0.00221238938053	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__
4477861	1.97727327094	0.159677956949	1.0	1.0	79.0243902439	97.7278761062	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
4430843	1.96532275006	0.160945202092	1.0	1.0	10.8268292683	5.19026548673	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
4463108	1.89805077842	0.168296661303	1.0	1.0	4.33170731707	1.0907079646	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__ruminis
